,ALTO,APEX,APEX-SBE,APEX_D,ARGOS,ARVOR,ARVOR_D,GPS,GTS,HM2000,IRIDIUM,NAVIS,NAVIS_A,NAVIS_EBR,NEMO,NEMO Profiling Float,NINJA,NINJA_D,NOVA,NOVA-SBE,Nova-SBE,PALACE,POPS_PROVOR,PROVOR,PROVOR-SBE,PROVOR_II,PROVOR_III,PROVOR_IV,PROVOR_MT,Primary sampling: averaged [],S2A,S2X,SOLO,SOLO-W,SOLO_D,SOLO_II,SOLO_W,aoml,bodc,coriolis,csio,csiro,date,incois,jma,kma,kordi,meds,n/a,nProf,nmdis
149,,6465,,6.0,6271,1548.0,15.0,7803.0,3.0,9.0,75.0,,1176.0,7.0,6.0,,,4.0,342.0,,,,,381,,,412.0,30.0,4.0,,1379.0,48.0,384,,51.0,1279.0,319,8343,511,2266,453,1201,2016-06-30,431,694,36,18,199,,14152,
150,,6786,,7.0,6313,1562.0,16.0,8474.0,,9.0,73.0,,1296.0,96.0,4.0,,,5.0,376.0,,,,,405,,,380.0,124.0,,,1325.0,48.0,394,,105.0,1305.0,319,8575,734,2358,456,1289,2016-07-31,438,746,19,17,228,,14860,
151,,6570,,13.0,6222,1583.0,16.0,8100.0,,9.0,91.0,,1187.0,77.0,3.0,,,4.0,368.0,,,,,388,,,335.0,155.0,,,1272.0,51.0,387,,79.0,1290.0,316,8282,671,2339,460,1226,2016-08-31,437,730,21,15,232,,14413,
152,,6553,,12.0,5896,1533.0,15.0,7758.0,,40.0,88.0,,1135.0,55.0,2.0,,,5.0,328.0,,,,,373,,,374.0,155.0,8.0,,1039.0,42.0,350,,27.0,1228.0,283,7823,613,2285,481,1185,2016-09-30,400,703,16,15,221,,13742,
153,,6768,,13.0,6074,1622.0,12.0,7998.0,,71.0,92.0,,1195.0,58.0,2.0,,,4.0,336.0,,,,,381,,,468.0,109.0,9.0,,828.0,48.0,345,,99.0,1360.0,279,7915,630,2356,568,1194,2016-10-31,456,774,20,18,233,,14164,
154,,6389,,19.0,5763,1563.0,14.0,7704.0,,65.0,111.0,,1205.0,66.0,2.0,,,5.0,324.0,,,,,361,,,478.0,86.0,9.0,,789.0,44.0,305,,73.0,1365.0,270,7608,579,2257,506,1171,2016-11-30,440,768,16,18,215,,13578,
155,,6691,,18.0,5946,1648.0,20.0,8218.0,,68.0,84.0,,1327.0,69.0,2.0,,,2.0,315.0,,,,,352,,,536.0,77.0,10.0,,891.0,46.0,306,,64.0,1406.0,252,7922,592,2378,492,1238,2016-12-31,449,836,113,19,209,,14248,
156,,6590,,20.0,5848,1687.0,22.0,8206.0,,57.0,68.0,,1358.0,85.0,2.0,,,3.0,333.0,,,,,349,,,496.0,72.0,9.0,,885.0,45.0,288,,59.0,1382.0,243,7785,591,2405,468,1250,2017-01-31,452,779,169,19,204,,14122,
157,,5777,,15.0,5129,1600.0,20.0,7511.0,,51.0,47.0,,1268.0,88.0,2.0,,,4.0,335.0,,,,,295,,,446.0,53.0,8.0,,789.0,40.0,224,,55.0,1302.0,211,6980,542,2212,388,1093,2017-02-28,413,683,165,13,198,,12687,
158,,6284,,18.0,5657,1803.0,21.0,8174.0,,59.0,63.0,,1493.0,89.0,2.0,,,6.0,357.0,,,,,324,,,371.0,51.0,10.0,,882.0,48.0,246,,96.0,1412.0,211,7655,635,2279,432,1207,2017-03-31,434,835,188,15,214,,13894,
159,,5905,,19.0,5376,1985.0,18.0,8034.0,,51.0,59.0,,1343.0,139.0,2.0,,,1.0,350.0,,,,,336,,,394.0,44.0,9.0,,880.0,44.0,207,,74.0,1354.0,205,7232,786,2339,408,1195,2017-04-30,441,678,168,16,206,,13469,
160,2.0,5947,,20.0,5466,1970.0,19.0,8020.0,,50.0,48.0,,1358.0,179.0,2.0,,,1.0,353.0,,,,,323,,,389.0,25.0,9.0,,946.0,53.0,191,,60.0,1350.0,188,7245,745,2316,407,1257,2017-05-31,431,725,179,16,213,,13534,
161,35.0,5552,,18.0,5461,2477.0,18.0,7932.0,,43.0,48.0,,1306.0,173.0,2.0,,,1.0,348.0,,,,,303,,,443.0,,9.0,,942.0,53.0,172,,45.0,1261.0,160,6824,694,2237,371,1217,2017-06-30,967,718,184,13,216,,13441,
162,14.0,5620,,17.0,5176,1941.0,19.0,7835.0,,41.0,49.0,,1351.0,123.0,,,,4.0,391.0,,,,,294,,,408.0,66.0,9.0,,954.0,57.0,171,,49.0,1316.0,148,6916,714,2165,354,1188,2017-07-31,521,762,178,14,248,,13060,
163,14.0,5696,,18.0,5071,2036.0,29.0,8303.0,,28.0,58.0,,1401.0,141.0,,,,1.0,417.0,,,,,302,,,392.0,181.0,9.0,,948.0,57.0,154,,82.0,1321.0,149,6972,896,2300,340,1180,2017-08-31,469,783,198,15,279,,13432,
164,46.0,5463,,16.0,4831,2034.0,27.0,8343.0,,11.0,65.0,7.0,1526.0,136.0,,,,1.0,411.0,,,,,296,,,363.0,186.0,9.0,,931.0,51.0,143,,54.0,1350.0,137,6963,899,2241,306,1111,2017-09-30,449,757,219,15,279,,13239,
165,70.0,5892,,19.0,4840,2002.0,23.0,9082.0,,3.0,80.0,31.0,1536.0,159.0,,,,1.0,434.0,,,,,301,,,565.0,127.0,9.0,,983.0,42.0,139,,84.0,1422.0,131,7519,835,2416,326,1139,2017-10-31,491,768,194,12,302,,14002,
166,54.0,5744,,18.0,4649,1856.0,21.0,8784.0,,29.0,81.0,26.0,1485.0,155.0,4.0,,,1.0,413.0,,,,,293,,,540.0,12.0,9.0,,1004.0,42.0,126,,67.0,1477.0,120,7415,780,2069,337,1078,2017-11-30,518,732,270,22,293,,13514,
167,39.0,5955,,24.0,4760,1931.0,19.0,8992.0,,47.0,75.0,26.0,1518.0,178.0,4.0,,,1.0,404.0,,,,,292,,,491.0,29.0,9.0,,976.0,44.0,125,,70.0,1518.0,117,7557,798,2059,373,1147,2017-12-31,524,761,280,25,303,,13827,
