,psalMean,psalStd,presMean,presStd,cndcMean,cndcStd,tempMean,tempStd,startDate,endDate,nProf
0.0,36.3909,0.06232672823621997,15.231,8.151418281501693,,,17.03865,0.27583886886903225,2004-01-01,2004-02-03,20.0
1.0,36.38966666666667,0.09161684920812013,15.318888888888885,8.500542466350145,,,16.975055555555553,0.5675262597938139,2004-02-04,2004-03-08,18.0
2.0,36.4865,0.11326385125007978,15.0,5.477225575051661,,,17.220666666666666,0.2773724331411952,2004-03-09,2004-04-11,6.0
3.0,36.4526875,0.10267795527765512,18.9375,5.744199973306407,,,16.9945,0.5448510499821643,2004-04-12,2004-05-14,16.0
4.0,36.487833333333334,0.11070270202345604,18.27777777777778,5.7271854863249585,,,18.18177777777778,0.7698607632366011,2004-05-15,2004-06-16,18.0
5.0,36.61656250000001,0.10366160893342603,18.38888888888889,5.761320200918913,,,20.974722222222226,1.1954959495370436,2004-06-17,2004-07-19,18.0
6.0,36.72254166666667,0.05261011571325757,18.333333333333332,5.654291687979462,,,23.136541666666663,1.0433157002376217,2004-07-20,2004-08-21,24.0
7.0,36.781357142857146,0.09583447841328949,19.285714285714285,5.497252060782753,,,23.638785714285714,0.44461827682621413,2004-08-22,2004-09-23,14.0
8.0,36.85475,0.07114022644173792,20.083333333333332,5.316498049952761,,,22.808750000000003,0.543794601096607,2004-09-24,2004-10-26,12.0
9.0,36.701687500000006,0.19149681241907474,20.0625,5.372383083883725,,,20.887625000000003,1.2753584528803394,2004-10-27,2004-11-28,16.0
10.0,36.58591666666667,0.1976449793918066,20.0,5.222329678670935,,,18.315583333333333,1.265072219162593,2004-11-29,2004-12-31,12.0
11.0,36.48591666666667,0.22576957615044446,20.0,5.222329678670935,,,17.002333333333333,1.250396252345147,2005-01-01,2005-02-03,12.0
12.0,36.38641666666666,0.17930748518236575,20.0,5.222329678670935,,,16.108583333333332,1.0834643475556742,2005-02-04,2005-03-09,12.0
13.0,36.27579999999999,0.19397983858581255,20.1,5.173651192984184,,,16.1747,0.9810037999699879,2005-03-10,2005-04-11,10.0
14.0,36.379999999999995,0.20974174596393677,20.533333333333335,5.235410567426762,4.83,0.0008164965809279987,16.889,0.9874335420675157,2005-04-12,2005-05-14,15.0
15.0,36.47028571428571,0.18250918989356263,19.944444444444443,5.207146923697018,4.825,0.0008164965809276362,18.645055555555555,0.6465900121335386,2005-05-15,2005-06-16,18.0
16.0,36.536199999999994,0.15844438211000766,19.928571428571427,5.121061874775067,4.823,0.002943920288775826,20.411285714285714,0.594138733937483,2005-06-17,2005-07-19,14.0
17.0,36.73466666666667,0.029951071210672125,20.083333333333332,5.316498049952761,4.818499999999999,0.0016431676725154527,22.161583333333336,0.5926741337260119,2005-07-20,2005-08-21,12.0
18.0,36.873,0.05198076567346932,20.083333333333332,5.316498049952761,5.056500000000001,0.03488696031470794,22.22366666666667,0.8987788011147864,2005-08-22,2005-09-23,12.0
19.0,36.44627586206896,0.17308691591154493,16.398437500000004,9.165315782495286,4.9715,0.1274342967964276,20.535750000000007,0.8947075074064839,2005-09-24,2005-10-26,64.0
20.0,36.42852173913044,0.1614288614055304,15.967391304347826,9.284947300701903,,,19.644760869565218,0.987735731296194,2005-10-27,2005-11-28,46.0
21.0,36.40414285714283,0.15463167432267094,16.267441860465116,9.154148706362921,,,17.333093023255817,0.9781595890328084,2005-11-29,2005-12-31,43.0
22.0,36.37143333333333,0.13305719003198932,16.116666666666667,9.252451194539999,,,16.082633333333334,0.802010692829235,2006-01-01,2006-02-03,60.0
23.0,36.27696774193549,0.09724533243330276,16.06935483870967,9.395911016992363,,,15.280822580645161,0.6318305054984898,2006-02-04,2006-03-09,62.0
24.0,36.28573584905659,0.11638664854424381,16.687301587301583,9.063636884213114,,,15.701047619047621,0.6646756771240908,2006-03-10,2006-04-11,63.0
25.0,36.30020588235293,0.10938847095019558,17.00789473684211,9.01833337386156,4.688666666666667,0.09819097039273345,16.80794736842106,0.6257508960118627,2006-04-12,2006-05-14,76.0
26.0,36.416700000000006,0.10340250464133675,16.525,9.03682907114088,4.916666666666667,0.056954952959919695,18.900416666666672,0.9350435554373775,2006-05-15,2006-06-16,60.0
27.0,36.461700000000015,0.0790389948814154,16.493333333333332,9.112440121710069,5.030333333333334,0.06360398310378598,20.16446666666667,0.7242811858375114,2006-06-17,2006-07-19,60.0
28.0,36.48681944444444,0.12281869454307201,16.636111111111113,9.050286830028666,5.26675,0.10498129085018641,21.635124999999995,0.9660172473528092,2006-07-20,2006-08-21,72.0
29.0,36.61347500000001,0.10563021797155418,16.855813953488372,8.560688176764803,5.381,0.03656774535023974,22.42904651162791,0.6858792741711484,2006-08-22,2006-09-23,43.0
30.0,36.55554166666665,0.13634855267622603,16.601351351351354,9.15796671282536,5.381166666666666,0.024473795510028158,22.133581081081083,0.6973269708642467,2006-09-24,2006-10-26,74.0
31.0,36.47949397590361,0.16651949080190673,16.584883720930232,8.614413604594684,5.251250000000001,0.07778495998584828,20.71643023255814,0.7466936932543545,2006-10-27,2006-11-28,86.0
32.0,36.50978217821781,0.11477714092626601,15.964423076923076,8.196529199976304,5.009666666666667,0.08038076055043682,18.845307692307703,0.6999630791500818,2006-11-29,2006-12-31,104.0
33.0,36.47992372881355,0.1299358261578016,15.777118644067794,8.286085659613521,4.877166666666667,0.02819515324779565,17.75922881355932,0.7498627157660368,2007-01-01,2007-02-03,118.0
